season,week,player_id,receiver,targets,avg_air_yards,avg_cpoe,target_quality_score,td_rate,data_source
2018,1,00-0032765,M.Thomas,17,7.529412,19.26631,0.5108645,0.05882353,pbp_proxy
2018,1,00-0032778,T.Sharpe,3,10.333333,-31.636347,-1.395617,0.0,pbp_proxy
2018,1,00-0032780,J.Howard,5,1.6,20.818913,0.49341747,0.0,pbp_proxy
2018,1,00-0032791,J.Grant,7,16.0,11.333858,0.39416844,0.0,pbp_proxy
2018,1,00-0032918,C.Ham,2,0.5,-81.008484,-2.5089076,0.0,pbp_proxy
2018,1,00-0032951,L.Treadwell,4,3.0,-31.036495,-1.058086,0.0,pbp_proxy
2018,1,00-0032972,D.Booker,2,-4.0,13.772464,0.31251976,0.0,pbp_proxy
2018,1,00-0032977,R.Higgins,3,16.0,-14.435651,-0.2122863,0.0,pbp_proxy
2018,1,00-0033009,T.Boyd,5,2.4,-11.357099,-0.34037286,0.0,pbp_proxy
2018,1,00-0033025,J.Richard,11,2.909091,7.4079313,-0.0045642154,0.0,pbp_proxy
2018,1,00-0033040,T.Hill,8,17.875,34.468903,1.5804561,0.25,pbp_proxy
2018,1,00-0033045,E.Elliott,4,-0.25,-7.336049,-0.37374327,0.0,pbp_proxy
2018,1,00-0033118,K.Drake,4,2.75,-3.0511975,-0.23173945,0.0,pbp_proxy
2018,1,00-0033251,Z.Pascal,1,16.0,45.008488,1.7854949,0.0,pbp_proxy
2018,1,00-0033280,C.McCaffrey,9,3.3333333,-3.4986904,-0.09131165,0.0,pbp_proxy
2018,1,00-0033288,G.Kittle,9,12.0,-6.1648455,-0.1043003,0.0,pbp_proxy
2018,1,00-0033292,T.Taylor,6,6.0,-8.992012,-0.50652754,0.0,pbp_proxy
2018,1,00-0033307,K.Bourne,1,8.0,-61.663513,-3.0,0.0,pbp_proxy
2018,1,00-0033308,M.Breida,2,2.5,-28.381329,-0.94957066,0.0,pbp_proxy
2018,1,00-0033375,T.Patrick,2,30.5,-37.07605,-0.94208074,0.0,pbp_proxy
2018,1,00-0033382,A.Carr,2,6.5,23.377758,0.7345159,0.0,pbp_proxy
2018,1,00-0033460,J.Ross,2,11.0,5.0390434,0.17171688,0.5,pbp_proxy
2018,1,00-0033536,M.Williams,7,14.666667,22.731918,0.65393645,0.0,pbp_proxy
2018,1,00-0033553,J.Conner,6,-1.0,3.614292,0.18910807,0.0,pbp_proxy
2018,1,00-0033556,T.Cohen,4,-2.5,-9.193533,-0.14164367,0.0,pbp_proxy
2018,1,00-0033562,R.Switzer,1,2.0,-79.85438,-2.4561007,0.0,pbp_proxy
2018,1,00-0033564,J.Butt,4,11.0,-7.335655,-0.26132604,0.0,pbp_proxy
2018,1,00-0033576,E.Saubert,1,10.0,-48.34974,-1.7419955,0.0,pbp_proxy
2018,1,00-0033589,D.Moore,1,14.0,-36.717533,-1.3625282,0.0,pbp_proxy
2018,1,00-0033594,C.Carson,5,-0.2,-17.88062,-0.63135684,0.0,pbp_proxy
2018,1,00-0033611,R.Seals-Jones,6,8.833333,-10.1155,-0.6694903,0.0,pbp_proxy
2018,1,00-0033627,J.Croom,3,9.0,0.60375214,-0.19772841,0.0,pbp_proxy
2018,1,00-0033658,B.Jarwin,1,32.0,-31.841719,-0.77806336,0.0,pbp_proxy
2018,1,00-0033681,K.Cole,4,9.75,11.669357,0.47698367,0.0,pbp_proxy
2018,1,00-0033699,A.Ekeler,5,7.4,40.127148,1.3517917,0.2,pbp_proxy
2018,1,00-0033773,R.McCarron,1,27.0,-39.619335,-1.0581715,0.0,pbp_proxy
2018,1,00-0033839,D.Westbrook,6,9.166667,19.436491,0.60970366,0.0,pbp_proxy
2018,1,00-0033856,L.Fournette,3,-2.6666667,13.5573225,0.53920585,0.0,pbp_proxy
2018,1,00-0033857,J.Smith-Schuster,8,7.125,-6.6618614,-0.04703106,0.0,pbp_proxy
2018,1,00-0033858,J.Smith,3,7.3333335,-36.555172,-1.0752312,0.0,pbp_proxy
