season,week,receiver_player_id,receiver,receiver_player_name,targets,avg_air_yards,avg_cpoe,avg_xyac_epa,target_quality_score,td_rate
2024,19,00-0035676,A.Brown,A.Brown,3,16.666666,-24.568213,0.5220762,-0.7980675,0.0
2024,19,00-0038797,Em.Wilson,Em.Wilson,3,2.3333333,-31.128359,0.80275154,-0.8779884,0.0
2024,19,00-0037614,J.Metchie,J.Metchie,8,8.875,-20.168964,0.452398,-0.98804075,0.0
2024,19,00-0038558,D.Washington,D.Washington,3,5.0,-34.6928,0.65763754,-1.012903,0.0
2024,19,00-0033897,J.Mixon,J.Mixon,2,2.0,-34.09208,0.9048603,-1.0967786,0.0
2024,19,00-0034777,D.Chark,D.Chark,4,17.25,-33.711987,0.849576,-1.1102867,0.0
2024,19,00-0036628,J.Bates,J.Bates,1,0.0,-35.805042,0.74905914,-1.1782733,0.0
2024,19,00-0033293,A.Jones,A.Jones,6,-4.0,-37.57752,1.1054515,-1.2167466,0.0
2024,19,00-0034159,W.Dissly,W.Dissly,5,6.2,-31.9091,0.5982498,-1.4324759,0.0
2024,19,00-0038544,Q.Johnston,Q.Johnston,5,17.2,-56.26587,1.8226976,-1.6600672,0.0
2024,19,00-0039424,D.Vele,D.Vele,2,8.5,-65.43883,0.25309548,-2.1229374,0.0
2024,19,00-0036158,J.Dobbins,J.Dobbins,1,0.0,-70.65115,1.5773494,-2.2463176,0.0
2024,19,00-0037617,H.Haskins,H.Haskins,1,3.0,-80.36128,0.8432387,-2.4862187,0.0
2024,19,00-0038465,M.Heath,M.Heath,4,6.25,-64.73993,0.4460701,-2.4956443,0.0
2024,18,00-0033536,M.Williams,M.Williams,1,25.0,65.21119,0.3582527,2.7361085,0.0
2024,18,00-0036360,C.Edwards-Helaire,C.Edwards-Helaire,1,0.0,28.77013,4.6576757,2.5604722,0.0
2024,18,00-0037664,A.Pierce,A.Pierce,2,25.5,54.338318,0.46229166,2.3933046,0.5
2024,18,00-0033526,S.Perine,S.Perine,1,0.0,34.100193,3.3121412,2.2893715,0.0
2024,18,00-0039703,C.Schrader,C.Schrader,1,0.0,62.742455,1.163326,1.8225532,0.0
2024,18,00-0034521,A.Lazard,A.Lazard,3,15.333333,39.08299,0.5051567,1.7487955,0.33333334
2024,18,00-0039144,L.Musgrave,L.Musgrave,1,19.0,46.24589,0.2571857,1.6296537,0.0
2024,18,00-0039754,D.Culp,D.Culp,2,11.5,39.02879,0.28348926,1.6073128,0.0
2024,18,00-0038498,E.Jenkins,E.Jenkins,1,4.0,45.314766,0.70746356,1.595227,1.0
2024,18,00-0039424,D.Vele,D.Vele,4,11.75,44.049156,0.6498452,1.5921392,0.25
2024,18,00-0038752,J.Bobo,J.Bobo,1,4.0,52.372696,,1.5516533,1.0
2024,18,00-0039146,J.Reed,J.Reed,3,24.0,63.591698,0.62487936,1.4520746,0.0
2024,18,00-0039050,P.Durham,P.Durham,2,7.5,40.357475,0.46633163,1.378582,0.5
2024,18,00-0038608,K.Boutte,K.Boutte,7,12.142858,36.83373,0.4468809,1.3533251,0.14285715
2024,18,00-0032128,C.Conley,C.Conley,4,11.75,38.098293,0.37680495,1.3429824,0.0
2024,18,00-0038935,B.Strange,B.Strange,4,9.0,31.236004,0.8486548,1.3306975,0.0
2024,18,00-0035406,L.Humphrey,L.Humphrey,2,10.5,34.905968,0.25804448,1.3266964,0.0
2024,18,00-0039420,J.Bell,J.Bell,1,17.0,31.459576,0.32141557,1.2675998,0.0
2024,18,00-0037524,T.Martin,T.Martin,2,31.5,7.5459538,0.78602386,1.2643441,0.5
2024,18,00-0034054,R.Cracraft,R.Cracraft,4,7.75,38.53072,0.3685699,1.2591956,0.0
2024,18,00-0039853,J.Baker,J.Baker,1,12.0,36.90885,0.21091668,1.234623,0.0
2024,18,00-0039365,J.Cowing,J.Cowing,2,10.0,30.377617,0.5510746,1.1861293,0.0
2024,18,00-0030279,K.Allen,K.Allen,3,8.0,36.23643,0.27427262,1.1179633,0.0
2024,18,00-0037292,A.Ogletree,A.Ogletree,1,12.0,31.297476,0.20430264,1.0908754,0.0
2024,18,00-0034613,T.Hudson,T.Hudson,1,3.0,23.103863,1.0289676,1.0851384,0.0
2024,18,00-0039062,J.Mingo,J.Mingo,2,12.0,34.768787,0.23090404,1.0718338,0.0
2024,18,00-0039746,W.Shipley,W.Shipley,4,1.75,35.370644,0.88133097,1.0671211,0.0
2024,18,00-0039139,J.Gibbs,J.Gibbs,5,-0.4,27.66684,1.1960751,1.0500647,0.2
2024,18,00-0039855,J.McMillan,J.McMillan,6,12.0,24.910177,0.9247468,1.0239452,0.16666667
2024,18,00-0030061,Z.Ertz,Z.Ertz,5,6.4,31.760248,0.8093735,1.0074445,0.2
2024,18,00-0032394,N.Vannett,N.Vannett,2,-1.0,27.55484,1.0619293,0.9739127,0.0
2024,18,00-0036825,F.Franks,F.Franks,1,12.0,26.344698,0.46283382,0.96228653,0.0
2024,18,00-0036554,N.Collins,N.Collins,5,4.2,30.276596,0.69258904,0.94525397,0.2
2024,18,00-0033307,K.Bourne,K.Bourne,2,5.0,35.85764,0.49978846,0.929055,0.0
2024,18,00-0031484,C.Manhertz,C.Manhertz,1,2.0,21.57318,0.75544333,0.89600277,0.0
2024,18,00-0035500,G.Dortch,G.Dortch,4,1.25,19.632862,0.70225006,0.8941782,0.5
2024,18,00-0033376,P.Ricard,P.Ricard,1,1.0,18.62874,0.78917634,0.8912187,0.0
2024,18,00-0039491,J.Coker,J.Coker,7,5.857143,24.794882,0.53975856,0.8869774,0.0
2024,18,00-0033699,A.Ekeler,A.Ekeler,2,-0.5,17.071056,1.6025538,0.87187165,0.0
2024,18,00-0034383,D.Schultz,D.Schultz,3,8.333333,28.37819,0.41767272,0.85290015,0.0
2024,18,00-0034348,C.Sutton,C.Sutton,7,16.571428,20.122623,0.86656296,0.8411409,0.14285715
2024,18,00-0039919,R.Odunze,R.Odunze,2,7.0,29.946278,0.66857487,0.8379762,0.0
2024,18,00-0038544,Q.Johnston,Q.Johnston,14,9.642858,21.283264,0.7499889,0.83593494,0.0
2024,18,00-0039849,M.Harrison,M.Harrison,6,11.666667,24.134302,0.518356,0.83201927,0.16666667
2024,18,00-0034960,J.Meyers,J.Meyers,10,12.6,26.415966,0.54318625,0.81641495,0.1
2024,18,00-0033292,T.Taylor,T.Taylor,1,9.0,28.189356,0.33052674,0.79912674,0.0
2024,18,00-0039793,A.Barner,A.Barner,5,1.4,24.813976,1.0723859,0.79398733,0.2
